all_counts	all_log2_cpm	all_loo_contrasts	case_mean_cpm	control_mean_cpm	discovery_rank	loo_all_negative	loo_max	loo_min	pass	predicted_direction	rna_contrast_cpm	rna_contrast_median_ratio	status	symbol
[4.0, 7.0, 6.0, 3.0, 3.0, 4.0, 0.0, 0.0, 2.0, 0.0, 4.0, 6.0]	[-0.7501528779503985, -0.5668757871293448, -0.5344974100606431, -0.8300947598428733, -0.8175197949800537, -0.7441115084342325, -1.0, -1.0, -0.8283138763394703, -1.0, -0.70546370855942, -0.6789622375470059]	[-0.17017011831822004, -0.13351470015400924, -0.12703902474026896, -0.18615849469671486, -0.183643501724151, -0.16896184441498674, -0.13533927475625496, -0.13533927475625496, -0.16967649948836083, -0.13533927475625496, -0.194246533044371, -0.1995468272468539]	0.05017447217809027	0.11449352197412448	1	True	-0.12703902474026896	-0.1995468272468539	True	down	-0.16158128067472521	-0.16459121279713496	direction_corroborated	CMTM5
[4.0, 7.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 2.0, 2.0, 3.0]	[-0.7501528779503985, -0.5668757871293448, -0.9112255709957436, -0.941113424977916, -1.0, -0.9316487527291595, -1.0, -1.0, -0.9116045321355789, -0.8412259017000645, -0.8452284160198202, -0.830569559852748]	[-0.03459869445160235, 0.0020567237126082327, -0.06681323306067144, -0.07279080385710601, -0.08456811886152271, -0.07089786940735443, -0.03555627964454833, -0.03555627964454833, -0.05323537321743255, -0.06731109930453538, -0.06651059644058432, -0.0694423676739987]	0.03478208180396162	0.05774008052787536	2	False	0.0020567237126082327	-0.08456811886152271	False	down	-0.05460199932094123	-0.053957792010848826	direction_not_corroborated	SLC2A14
[15685.0, 7659.0, 6644.0, 8610.0, 7641.0, 5216.0, 7738.0, 6717.0, 4291.0, 3926.0, 8974.0, 9936.0]	[8.53611952080262, 7.585408557588809, 7.723390116079605, 7.490673509861326, 7.428025295881915, 6.989073382436409, 7.829242823029593, 7.381324826099017, 7.088182567753945, 6.841544130426841, 7.991895593230379, 7.692521116076496]	[0.02747100373309941, -0.16267118890966348, -0.1350748772115029, -0.18161819845516014, -0.19414784125104134, -0.2819382239401431, -0.22635475039111164, -0.1367711510049956, -0.07814269933598172, -0.028815011870562124, -0.2588853044312689, -0.1990104090004925]	183.88838133931208	208.45149472256801	3	False	0.02747100373309941	-0.2819382239401431	False	down	-0.15466322100573482	-0.18415078286821096	direction_not_corroborated	NID2
[2156.0, 2046.0, 1370.0, 2249.0, 1765.0, 2195.0, 1792.0, 2103.0, 1625.0, 1549.0, 1747.0, 2437.0]	[5.685305475675911, 5.691325867619553, 5.458594356939994, 5.565243484889432, 5.327810203285566, 5.748144559488393, 5.729338861558241, 5.7154180997182875, 5.6959797988594225, 5.509440847345804, 5.642698858442728, 5.67565280829311]	[0.10319785125834446, 0.10440192964707329, 0.057855627511161245, 0.07918545310104896, 0.031698796780275096, 0.11576566802084098, 0.06843409121539601, 0.07121824358338547, 0.07510590375515847, 0.11241369405788237, 0.08576209183849848, 0.07917130186842147]	50.17673200311341	47.560730017794064	4	False	0.11576566802084098	0.031698796780275096	False	down	0.08201755438645719	0.05281548914872847	direction_not_corroborated	DCAF8
[368.0, 63.0, 53.0, 111.0, 23.0, 36.0, 166.0, 24.0, 8.0, 37.0, 127.0, 81.0]	[3.2012779785748267, 1.0535937864693083, 1.1255579672017817, 1.4917068564091998, 0.024121667814085496, 0.45766679250589165, 2.424414387259196, 0.12951397639342516, -0.40976056902704006, 0.6563845882301417, 2.034053621634398, 1.1258458457737965]	[0.16287922763059937, -0.26665761079050443, -0.25226477464400954, -0.1790349968025261, -0.4725520345215489, -0.38584300958318785, -0.5184466822282383, -0.059466600055084085, 0.048388309029008925, -0.16484072242242753, -0.4403745291032788, -0.25873297393115846]	2.011457704034868	2.6096130586543276	5	False	0.16287922763059937	-0.5184466822282383	False	down	-0.2322455331185297	-0.25879984396469535	direction_not_corroborated	PIANP
[706.0, 379.0, 444.0, 764.0, 707.0, 562.0, 671.0, 582.0, 385.0, 218.0, 473.0, 588.0]	[4.103196104390578, 3.3189205646139315, 3.8668621925216398, 4.036916874842878, 4.0345538099464, 3.8210448445187333, 4.334691548903589, 3.8975002758538966, 3.6626055997204543, 2.7740868276693895, 3.7961058168164166, 3.6681432256068054]	[-0.1268041081936251, -0.2836592161489535, -0.1740708905674122, -0.14005995410316485, -0.14053256708246042, -0.18323436016799333, -0.30389404933896724, -0.2164557947290291, -0.16947685950234037, 0.008226894907872317, -0.19617690292153345, -0.17058438467961068]	13.031303898841427	14.281857381079893	6	False	0.008226894907872317	-0.30389404933896724	False	down	-0.17472684937726823	-0.2036687961911614	direction_not_corroborated	MEX3B
[3316.0, 2454.0, 2528.0, 3781.0, 3439.0, 3401.0, 2854.0, 3149.0, 2304.0, 1755.0, 4853.0, 4512.0]	[6.301480063209807, 5.951332128186357, 6.334881218282177, 6.308541498285044, 6.281362008745724, 6.375115697866125, 6.395685112174569, 6.29329550689796, 6.195574134772492, 5.687714756581234, 7.107425491772482, 6.557808876501529]	[0.12267080284362564, 0.05264121583893644, 0.1293510338581001, 0.12408308985867311, 0.1186471919508092, 0.13739792977488907, 0.10957831754259928, 0.1300562385979216, 0.1496005130230138, 0.25117238866126623, -0.03276975837698348, 0.07715356467720724]	86.09401030409002	76.42000660571112	7	False	0.25117238866126623	-0.03276975837698348	False	down	0.11413187735417196	0.08467860260916993	direction_not_corroborated	ANKRD52
					8				False	down			missing_symbol	ZFTA
[4502.0, 5221.0, 3514.0, 5048.0, 5207.0, 4601.0, 4090.0, 5268.0, 3910.0, 3181.0, 4735.0, 5372.0]	[6.740190808357812, 7.034331448897274, 6.807489325249651, 6.7231995097730275, 6.876672943744182, 6.808835778317957, 6.912209207531001, 7.0319527070828824, 6.9545537612689925, 6.53943666071703, 7.072043415661947, 6.808274820173994]	[0.03630596087622173, 0.09513408898411502, 0.04976566425458895, 0.03290770115926467, 0.06360238795349638, 0.05003495486825038, 0.04946563725765252, 0.025516937347275004, 0.04099672651005282, 0.12402014662044625, 0.01749879563146184, 0.07025251472905225]	118.6640042970189	113.71329516529494	9	False	0.12402014662044625	0.01749879563146184	False	down	0.054625126349322706	0.025219843147336718	direction_not_corroborated	FYCO1
[1183.0, 1718.0, 958.0, 1571.0, 1299.0, 1351.0, 1071.0, 1342.0, 1005.0, 836.0, 1118.0, 1467.0]	[4.830882432145709, 5.44191253466323, 4.949553484850791, 5.054203023064734, 4.891972143070028, 5.056311342733921, 4.9958512945408415, 5.075118095009871, 5.01129453252225, 4.633121541345581, 5.006839940763211, 4.952716728968785]	[-0.13296681681811862, -0.010760796314614574, -0.10923260627710185, -0.08830269863431273, -0.12074887463325457, -0.0878810347004757, -0.10165432569946287, -0.1175076857932682, -0.10474297329574433, -0.029108375060410197, -0.10385205494393634, -0.09302741258505076]	30.467483179666175	32.669987186433055	10	True	-0.010760796314614574	-0.13296681681811862	True	down	-0.09164880456297908	-0.12061118816830518	direction_corroborated	LYSMD3
