context,context_gene,dep_gene,pair,ky_pos,ky_evaluable
EXPR_LOW:NMT2,NMT2,NMT1,NMT1|NMT2,7,True
EXPR_LOW:FZD7,FZD7,FZD5,FZD5|FZD7,26,True
EXPR_LOW:MAPK13,MAPK13,MAPK1,MAPK1|MAPK13,49,True
EXPR_LOW:AGAP1,AGAP1,AGAP6,AGAP1|AGAP6,7,True
EXPR_LOW:MRAS,MRAS,NRAS,MRAS|NRAS,79,True
EXPR_LOW:ZNF714,ZNF714,ZNF492,ZNF492|ZNF714,30,True
EXPR_LOW:PKN3,PKN3,PKN2,PKN2|PKN3,16,True
EXPR_LOW:FGFR4,FGFR4,FGFR1,FGFR1|FGFR4,35,True
EXPR_LOW:ITGA5,ITGA5,ITGAV,ITGA5|ITGAV,31,True
EXPR_LOW:EIF5A2,EIF5A2,EIF5A,EIF5A|EIF5A2,27,True
EXPR_LOW:CDC25A,CDC25A,CDC25B,CDC25A|CDC25B,3,False
EXPR_LOW:LETM2,LETM2,LETM1,LETM1|LETM2,23,True
EXPR_LOW:TTC7B,TTC7B,TTC7A,TTC7A|TTC7B,24,True
EXPR_LOW:HTRA1,HTRA1,HTRA2,HTRA1|HTRA2,60,True
EXPR_LOW:CYB5A,CYB5A,CYB5B,CYB5A|CYB5B,16,True
EXPR_LOW:STX3,STX3,STX4,STX3|STX4,6,True
EXPR_LOW:SMAD3,SMAD3,SMAD4,SMAD3|SMAD4,2,False
EXPR_LOW:ZNF528,ZNF528,ZNF492,ZNF492|ZNF528,83,True
EXPR_LOW:ZNF83,ZNF83,ZNF492,ZNF492|ZNF83,31,True
EXPR_LOW:RAB4A,RAB4A,RAB11A,RAB11A|RAB4A,5,True
EXPR_LOW:RAB31,RAB31,RAB21,RAB21|RAB31,53,True
EXPR_LOW:RAB31,RAB31,RAB10,RAB10|RAB31,53,True
EXPR_LOW:PPIC,PPIC,PPIL1,PPIC|PPIL1,16,True
EXPR_LOW:ZNF354A,ZNF354A,ZNF492,ZNF354A|ZNF492,3,False
EXPR_LOW:FOS,FOS,FOSL1,FOS|FOSL1,3,False
EXPR_LOW:SMAD1,SMAD1,SMAD4,SMAD1|SMAD4,8,True
EXPR_LOW:CHD7,CHD7,CHD8,CHD7|CHD8,10,True
EXPR_LOW:ZNF738,ZNF738,ZNF492,ZNF492|ZNF738,37,True
EXPR_LOW:RAB43,RAB43,RAB11A,RAB11A|RAB43,12,True
EXPR_LOW:RAB43,RAB43,RAB10,RAB10|RAB43,12,True
