draw	spearman
1	-0.005518804810380961
2	-0.004442977612894196
3	-0.0014339082529257893
4	-0.002839933159290151
5	-0.0019810338279817544
6	-0.0030498162784172033
7	-0.007621667418857792
8	-0.010847340065296935
9	-0.0049930367148680625
10	0.004045843895085116
11	-0.005826827175073202
12	-0.016806605819857715
13	-0.00011343048098866078
14	-0.014644614112436867
15	-0.0023108800739991896
16	-0.00587728227778922
17	0.0017207417470298954
18	-0.004254194601483907
19	0.002418441044553768
20	-0.0070828986500353994
21	0.007509874018282764
22	0.0037954426829996104
23	0.003326972567950237
24	0.006510342864222493
25	-0.024673909679252978
26	0.008753210902726483
27	-0.013171720119525792
28	-0.014655790027863578
29	-0.005659237512563317
30	-0.004187710121955774
31	-0.0003007890239270109
32	-0.00565693058419323
33	-0.0010255790166996672
34	-0.0012637236491355596
35	-0.007445454485554667
36	0.0007386041619631743
37	-0.0011843504839822339
38	-0.015538504977348728
39	0.0007481054873762962
40	0.013230352666923384
41	0.018829170805411664
42	0.010327508322929432
43	-0.0033142987948378303
44	-0.0027555467542713886
45	-0.0062810710531283785
46	0.0007723006134703347
47	0.017357839531020335
48	-0.00027079625285776724
49	0.002230372229338345
50	0.002068533984599543
51	-0.0024629926959427086
52	-0.007382292435690278
53	-0.0046784936851703065
54	0.0006863705518065884
55	-0.00859257321084611
56	-0.018048316661981426
57	-0.015870742665356544
58	0.012163489722710603
59	0.005618051719512042
60	-0.004039599165821557
61	-0.006514876157817988
62	-0.0074662410284193305
63	0.013713250114774278
64	-0.010013104449565066
65	-0.012902785596354924
66	-0.004287208211621547
67	0.0025679682528345956
68	0.004638396882218265
69	0.00813644686476693
70	-0.007793022067211592
71	-0.005193102264709877
72	-0.008868374732903814
73	0.0013137979260025125
74	-0.017418428028608053
75	-0.010744177242235168
76	-0.0033645626049015535
77	0.006702845135551414
78	-0.005680443951148883
79	-8.241384623242578e-05
80	-0.019324169469669587
81	-0.0031107384218880974
82	5.5255933143132906e-05
83	0.0025325306142623617
84	-0.007141870865301681
85	-0.008523321031423442
86	-3.9118439448871185e-06
87	-0.0031207346157458497
88	-0.00922530327193997
89	-0.01943739393501491
90	-0.02108634522576888
91	0.004775104275938658
92	0.0024426123383247617
93	0.0019667217594354844
94	0.008938010659535664
95	0.008726275557441375
96	-0.006485828855073051
97	0.012075701257726817
98	-0.020128539526286397
99	0.0032619516865209732
100	-0.013853272973370316
101	0.008874300715220792
102	-0.010202985500651497
103	-0.0018841310912425249
104	0.011062197161873398
105	-0.009994409441197229
106	-0.0048709981873560435
107	-0.003009098420862116
108	0.0014085527459946573
109	-0.009678778732692562
110	0.0018349570580534322
111	0.012831843735437881
112	0.009223198976410994
113	-0.0025663661955450923
114	-0.004973271479500288
115	0.009408101724443205
116	-0.00979752416697192
117	0.010283017591858113
118	0.005465518776922513
119	0.009519457508592441
120	-0.0034863011950424737
121	0.004352388290578549
122	-0.0009168924626906614
123	0.013862181916665996
124	-0.002635089343208398
125	-0.004708812493307512
126	-0.01006581037061856
127	0.0064910939394186625
128	-0.0016759246502376004
129	0.010273035540039109
130	-0.007821179991746467
131	-0.004969886144321934
132	-0.013369802099045465
133	0.0040093007972459875
134	0.0042512023784657465
135	-0.008055069819199196
136	0.001498320611722963
137	-0.00745817902393856
138	-0.023341574441893578
139	0.014015324955438405
140	-0.0059459838306257515
141	0.0005257265292060523
142	-0.000902268080829524
143	0.012047164226961673
144	-0.01258737078964181
145	-0.005409488112355272
146	-0.0062488771334831
147	-0.02253411581712984
148	-0.014784502170181872
149	0.018432426926511553
150	-0.008233385069473763
151	0.0038157595607901072
152	-0.008962950915044534
153	-0.003550500301190564
154	-0.008491973048035397
155	0.011981465686257369
156	-0.009389338568711186
157	0.0008839086205486674
158	0.009387840681147945
159	0.00923785442760092
160	-0.0010622495057582596
161	-0.0013730228787556399
162	-0.011681145304928484
163	-0.005282243286230541
164	0.0030512077122817286
165	0.009998664352411668
166	-0.006360426975617559
167	0.008334122532890245
168	-0.0025073157442630422
169	0.0074613067117532345
170	-0.011461917810460595
171	2.853439158185604e-05
172	-0.014121855263504264
173	-0.01336643956707466
174	-0.0014027482856190884
175	0.01129716552892349
176	0.0008649586106398949
177	-0.00671595216628753
178	-0.009253108465478813
179	-0.0021806389980269553
180	-0.006918780227289944
181	0.000632791084323029
182	-0.01157353744654403
183	-0.003304608772799245
184	-0.009705451228601149
185	-0.004229423565759812
