context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed
DEL:ELAVL2,DEL,ELAVL2,ELAVL1,ELAVL1|ELAVL2,DEL:ELAVL2,19,True,-0.029519434614891496,0.036730649844611815,-0.04247263908054766,0.4218370917181333,0.9213118965367497,833,-0.011407655242677438,0.8554490914362671,0.42772454571813356,False,False,,False
EXPR_LOW:COPZ2,EXPR_LOW,COPZ2,COPZ1,COPZ1|COPZ2,EXPR_LOW:COPZ2,69,True,-0.018640472457384403,0.02104438532116024,-0.022606522772089663,0.3759643161151823,0.9182727793989997,1031,-0.05254377119622723,0.2960278223965528,0.1480139111982764,False,False,,False
EXPR_LOW:TEAD3,EXPR_LOW,TEAD3,TEAD1,TEAD1|TEAD3,EXPR_LOW:TEAD3,7,True,-0.0362816248659379,0.05083076709755585,-0.06334667864527156,0.4755416442132112,0.9213118965367497,1031,-0.04849387200259004,0.6977477397684505,0.34887386988422525,False,False,,False
EXPR_LOW:RGPD5,EXPR_LOW,RGPD5,RANBP2,RANBP2|RGPD5,EXPR_LOW:RGPD5,9,True,-0.09127276812441144,0.03857143889054388,0.015672747898945433,0.018163750256462094,0.6171945965061838,1031,0.0831181765794366,0.28931736466119123,0.8553413176694044,False,False,,False
EXPR_LOW:SAMD4A,EXPR_LOW,SAMD4A,SAMD4B,SAMD4A|SAMD4B,EXPR_LOW:SAMD4A,34,True,-0.0014952980168690263,0.027855899937363437,-0.05310226586036331,0.9572015122026948,0.9693179870407035,1031,-0.14152691181908472,0.009180792608639625,0.0045903963043198125,False,False,,False
EXPR_LOW:BIRC3,EXPR_LOW,BIRC3,BIRC2,BIRC2|BIRC3,EXPR_LOW:BIRC3,44,True,-0.029128362536839147,0.021449271796115006,-0.012912210183546262,0.1747800416544172,0.9182727793989997,1031,-0.06846157393434243,0.11815150158744654,0.05907575079372327,False,False,,False
EXPR_LOW:VRK2,EXPR_LOW,VRK2,VRK1,VRK1|VRK2,EXPR_LOW:VRK2,19,True,-0.041381159491630494,0.04393196545259711,-0.044725492795459836,0.3464624216318758,0.9182727793989997,1031,-0.9856403586401918,7.999383505005757e-16,3.9996917525028784e-16,False,True,,False
EXPR_LOW:CTPS2,EXPR_LOW,CTPS2,CTPS1,CTPS1|CTPS2,EXPR_LOW:CTPS2,10,True,-0.015472677825944234,0.07255254161960402,-0.12673030374847966,0.8311682727110757,0.9268489213753779,1031,-0.08765714630790118,0.49962699270829364,0.24981349635414682,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK1,CDK1|CDK14,EXPR_LOW:CDK14,66,True,0.007958547409083031,0.042309302789916355,-0.07496768605915302,0.8508350339866139,0.9268489213753779,1031,0.14562046896458783,0.0672571072275061,0.966371446386247,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK6,CDK14|CDK6,EXPR_LOW:CDK14,66,True,0.018455441184734862,0.04277016409453978,-0.06537408044056311,0.6662000788879301,0.925194161797289,1031,0.02198572299940318,0.7152451894072375,0.6423774052963813,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK2,CDK14|CDK2,EXPR_LOW:CDK14,66,True,0.046141422189331385,0.03154947223747764,-0.015695543396124785,0.14392978729694186,0.9182727793989997,1031,0.010990255902129877,0.8322697040718676,0.5838651479640662,False,False,,False
EXPR_LOW:ATP2B4,EXPR_LOW,ATP2B4,ATP2B1,ATP2B1|ATP2B4,EXPR_LOW:ATP2B4,7,True,-0.019313976151841675,0.05347314298353077,-0.08549338409587863,0.7180369743829054,0.925194161797289,1031,-0.30497105546183023,0.0005726566094425886,0.0002863283047212943,False,True,,False
EXPR_LOW:ERBB3,EXPR_LOW,ERBB3,EGFR,EGFR|ERBB3,EXPR_LOW:ERBB3,57,True,-0.02364852992139521,0.028446961267849152,-0.032107514163589125,0.406000203281745,0.9213118965367497,1031,0.15702996266616268,0.13571698706319832,0.9321415064684009,False,False,,False
EXPR_LOW:RAB27A,EXPR_LOW,RAB27A,RAB10,RAB10|RAB27A,EXPR_LOW:RAB27A,1,False,0.03342963383370514,0.10358174533176123,-0.16959058701654686,0.7469651291390508,0.925194161797289,1031,0.1626050541357796,0.617845477730683,0.6910772611346585,False,False,,False
