context,context_kind,context_gene,dep_gene,pair,ctx_group,ky_pos,ky_evaluable,beta_av,se_av,beta_lb_av,p_av,q_av,n_av,beta_ky,p_ky_two,p_ky_one,av_pass,ky_pass,dep_expr_in_context,dep_expressed
DEL:ELAVL2,DEL,ELAVL2,ELAVL1,ELAVL1|ELAVL2,DEL:ELAVL2,19,True,-0.030026723518763704,0.03677590088610126,-0.042054042217994775,0.41448283202933495,0.9846698484571483,833,-0.011407655242677438,0.8554490914362671,0.42772454571813356,False,False,,False
EXPR_LOW:COPZ2,EXPR_LOW,COPZ2,COPZ1,COPZ1|COPZ2,EXPR_LOW:COPZ2,69,True,0.019843442015578968,0.021058539431565236,-0.021431295270288895,0.3462773525426964,0.9846698484571483,1031,-0.05254377119622723,0.2960278223965528,0.1480139111982764,False,False,,False
EXPR_LOW:TEAD3,EXPR_LOW,TEAD3,TEAD1,TEAD1|TEAD3,EXPR_LOW:TEAD3,7,True,0.012012113436215142,0.05101553078985151,-0.08797832691189382,0.8139021496139996,0.9846698484571483,1031,-0.04849387200259004,0.6977477397684505,0.34887386988422525,False,False,,False
EXPR_LOW:RGPD5,EXPR_LOW,RGPD5,RANBP2,RANBP2|RGPD5,EXPR_LOW:RGPD5,9,True,-0.009258650326600174,0.03816519907077168,-0.06554513985211231,0.8083718696301712,0.9846698484571483,1031,0.0831181765794366,0.28931736466119123,0.8553413176694044,False,False,,False
EXPR_LOW:SAMD4A,EXPR_LOW,SAMD4A,SAMD4B,SAMD4A|SAMD4B,EXPR_LOW:SAMD4A,34,True,0.0010383097005506492,0.02830447600663496,-0.05443846327245387,0.9707449459604898,0.9846698484571483,1031,-0.14152691181908472,0.009180792608639625,0.0045903963043198125,False,False,,False
EXPR_LOW:BIRC3,EXPR_LOW,BIRC3,BIRC2,BIRC2|BIRC3,EXPR_LOW:BIRC3,44,True,-0.0008463579473173299,0.021255894180624846,-0.04081519464670737,0.968246877332837,0.9846698484571483,1031,-0.06846157393434243,0.11815150158744654,0.05907575079372327,False,False,,False
EXPR_LOW:VRK2,EXPR_LOW,VRK2,VRK1,VRK1|VRK2,EXPR_LOW:VRK2,19,True,0.010268814450376744,0.04356828007355503,-0.07512501449379111,0.8137199801239184,0.9846698484571483,1031,-0.9856403586401918,7.999383505005757e-16,3.9996917525028784e-16,False,True,,False
EXPR_LOW:CTPS2,EXPR_LOW,CTPS2,CTPS1,CTPS1|CTPS2,EXPR_LOW:CTPS2,10,True,-0.022830351811022796,0.07060748781041162,-0.11556032429738397,0.7465070451157095,0.9846698484571483,1031,-0.08765714630790118,0.49962699270829364,0.24981349635414682,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK1,CDK1|CDK14,EXPR_LOW:CDK14,66,True,-0.02730128961990338,0.041673720246336025,-0.05437920206291523,0.5125478992315181,0.9846698484571483,1031,0.14562046896458783,0.0672571072275061,0.966371446386247,False,False,,False
EXPR_LOW:CDK14,EXPR_LOW,CDK14,CDK6,CDK14|CDK6,EXPR_LOW:CDK14,66,True,-0.03680937446079855,0.04203116979725373,-0.04557171834181876,0.381378239495115,0.9846698484571483,1031,0.02198572299940318,0.7152451894072375,0.6423774052963813,False,False,,False
