context,drug,beta,r,se,beta_lb,p,n_models,df,q
EXPR_LOW:TTYH1,Docetaxel,-0.8589972463758554,-0.18810893547830296,0.1764587095238544,0.5131381757091008,1.4188348857281609e-06,711,646,0.004141237838837008
EXPR_LOW:NOS1AP,Docetaxel,-0.8402026577249003,-0.18696746957042348,0.1736901184366642,0.4997700255890385,1.646752134788007e-06,711,646,0.0044533476566488385
EXPR_LOW:TCF7L1,Entinostat,-0.6359567438181472,-0.19713676977819378,0.1295476324504394,0.38204338421528594,1.1830219564596775e-06,660,596,0.003738533450658643
EXPR_LOW:STOX2,Entinostat,-0.570297660440886,-0.1902752069067628,0.12052819967216111,0.33406238908345026,2.784065375903676e-06,660,596,0.005945690268327494
EXPR_LOW:SYCP2,Entinostat,-0.5511869695065428,-0.1836297770238038,0.12086045478802944,0.3143004781220051,6.196211295715235e-06,660,596,0.009141132061792238
EXPR_LOW:NAV2,Epirubicin,-0.8477118610595739,-0.2017966667148551,0.16276315833783597,0.5286960707174153,2.574383149047938e-07,704,639,0.0015573414758560866
EXPR_LOW:CHMP4C,Epirubicin,-0.804516233935595,-0.18116477909735462,0.17276832219067406,0.46589032244187384,3.91164251956523e-06,704,639,0.007094868065980092
EXPR_LOW:CYP4F12,Epirubicin,-0.7175245134970879,-0.20065344912608016,0.1385849512723389,0.4458980090033036,3.016566276812742e-07,704,639,0.0017012815505616306
EXPR_LOW:LURAP1L,Epirubicin,-0.7044572406294257,-0.18562098022486398,0.1475242355031273,0.4153097390432962,2.2280706476949616e-06,704,639,0.005313415184973536
EXPR_LOW:STON2,Epirubicin,-0.6213905770732424,-0.18683000204211134,0.12925654621420996,0.3680477464933909,1.908066739864763e-06,704,639,0.0049211363207091975
EXPR_LOW:RORA,Epirubicin,-0.550382049045243,-0.1872025666358113,0.11424984197235764,0.326452358779422,1.8186789056498505e-06,704,639,0.004792012471754823
MUT_DAM:CD36,Fludarabine,-2.5759138506995187,-0.1806153363129013,0.5531836677622013,1.4916738618856042,3.908685079998448e-06,708,643,0.007094868065980092
EXPR_LOW:IFI16,Fulvestrant,-0.49488258555377007,-0.19838731570985776,0.09626963057291948,0.3061941096308479,3.635648204820624e-07,710,645,0.0018517995699565241
EXPR_LOW:GBP3,Fulvestrant,-0.48834221840619196,-0.19778890520920683,0.09529650274552998,0.3015610730249532,3.947906943674046e-07,710,645,0.0019537289658088206
EXPR_LOW:PADI1,Fulvestrant,-0.4547998646877705,-0.2141251832799221,0.0816923033714248,0.2946829500797779,3.799794214263897e-08,710,645,0.0004925066044057797
EXPR_LOW:IL18,Fulvestrant,-0.44607943284353896,-0.17654051401427323,0.09792927010409078,0.25413806343952106,6.261446514069072e-06,710,645,0.009161936730313153
EXPR_LOW:AREG,Fulvestrant,-0.4429995148546041,-0.18705627723372484,0.09160454078042743,0.26345461492496636,1.658269976554056e-06,710,645,0.004465913442824203
EXPR_LOW:APOL6,Fulvestrant,-0.4383719240363713,-0.19247340075286742,0.08800248238105861,0.26588705856949646,8.117714802342475e-07,710,645,0.0029907913456858172
EXPR_LOW:IFIT3,GSK1904529A,-0.4757670360425663,-0.18315146423376993,0.10055300087679983,0.2786831543240387,2.74020052802104e-06,710,645,0.005884236599938185
EXPR_LOW:MYLK,GSK1904529A,-0.468178118822069,-0.17645164416999984,0.10283409686535774,0.2666232889659678,6.330099880798237e-06,710,645,0.009183430081234
EXPR_LOW:PADI1,GSK1904529A,-0.4478860671322212,-0.1798263812427823,0.09647087994141657,0.2588031424470447,4.167946606699959e-06,710,645,0.007387935437172078
EXPR_LOW:PPL,GSK2830371,-0.5467650043309483,-0.20761243798303208,0.11430049177257856,0.32273604045669435,2.260025643996665e-06,568,508,0.00534431369521713
EXPR_LOW:GPR39,GSK2830371,-0.5313566243439858,-0.2043915517845523,0.11290803402006763,0.31005687766465323,3.260276803244838e-06,568,508,0.006428219653385899
EXPR_LOW:KRT15,GSK2830371,-0.4879236803184624,-0.19815140345823032,0.10708408360019253,0.278038876462085,6.522886801806429e-06,568,508,0.009324338824737138
EXPR_LOW:CCDC148,GSK2830371,-0.462868252750805,-0.21471280825253944,0.09341543672686589,0.2797739967661479,9.870911599203973e-07,568,508,0.003341399543526648
EXPR_LOW:ABLIM3,GSK2830371,-0.443635936715445,-0.19762676092070805,0.09763332362087702,0.25227462241852605,6.907730736944979e-06,568,508,0.009579519142665086
EXPR_LOW:MMP7,GSK2830371,-0.3870992745987004,-0.19975538479206392,0.08424608736474157,0.22197694336380694,5.46912101140554e-06,568,508,0.008564283400819247
EXPR_LOW:SYNC,Gefitinib,-0.4778098055934316,-0.1798035170154675,0.10341183418829433,0.2751226105843747,4.632902338928898e-06,704,639,0.007854768174582022
EXPR_LOW:MAF,Gemcitabine,-1.223088625120755,-0.17901980702001688,0.2648748959753723,0.7039338290090252,4.688033259036651e-06,709,644,0.007888715682744388
EXPR_LOW:KHDRBS3,Gemcitabine,-1.124446902834712,-0.1778423529075276,0.2451782590769683,0.6438975150438541,5.424004218075961e-06,709,644,0.008522006614401287
EXPR_LOW:TMEM86A,Gemcitabine,-1.0682801590121984,-0.18805466927818112,0.2198567048697312,0.6373610174675253,1.4834696862066504e-06,709,644,0.004201804134943103
EXPR_LOW:SPATA25,Gemcitabine,-1.0587670119687438,-0.1955145315556795,0.20927384691365716,0.6485902720179757,5.497350221380531e-07,709,644,0.0024087239144384947
EXPR_LOW:SLC16A1,Ibrutinib,-2.9488095628570603,-0.21278456553417682,0.5579401139858227,1.8552469394448479,1.7713275548940617e-07,653,589,0.0012118465992187089
EXPR_LOW:NMT2,Ibrutinib,-1.6773315906201598,-0.19713120597561531,0.34371545884006144,1.0036492912936392,1.3675152143886464e-06,653,589,0.004070844343905974
EXPR_LOW:SLC9B2,Ibrutinib,-1.6073855604305032,-0.22509055349803292,0.2866914355375587,1.045470346776888,3.172913793799933e-08,653,589,0.0004483042088240442
EXPR_LOW:MICB,Ibrutinib,-1.0440468265946967,-0.2019427206952253,0.20863782404152878,0.6351166914733003,7.420560220029501e-07,653,589,0.002859432222525107
EXPR_LOW:ZEB1,Ibrutinib,-0.8129219143929534,-0.19950196335343967,0.16452224493503584,0.49045831432028314,1.013736059388312e-06,653,589,0.003413814833112748
