set,context,drug,tested,replicated,result
primary,EXPR_LOW:TTYH1,5-azacytidine,True,False,"{""res"": {""beta"": -0.008349614780611364, ""r"": -0.026959839268326027, ""p_two"": 0.5749502187122497, ""se"": 0.014878094240236568, ""df"": 433, ""n"": 476, ""n_pos"": 333, ""n_neg"": 143, ""dep_sd"": 0.1423561333270807, ""n_broad_ids"": 2}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.28747510935612486, ""d_discovery"": 0.4525618123709243, ""d_holdout"": 0.05865300346018179, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:BMPR1A,ABT737,False,False,"{""res"": null, ""rep"": null}"
primary,EXPR_LOW:BCL3,ABT737,False,False,"{""res"": null, ""rep"": null}"
primary,EXPR_LOW:YAP1,ABT737,True,False,"{""res"": {""beta"": -0.09208023947262257, ""r"": -0.05377333320274591, ""p_two"": 0.2647533767009856, ""se"": 0.0824586933118139, ""df"": 430, ""n"": 473, ""n_pos"": 9, ""n_neg"": 464, ""dep_sd"": 0.1978955652236673, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.1323766883504928, ""d_discovery"": 0.5964841026666865, ""d_holdout"": 0.4652971347212901, ""magnitude_ok"": true, ""replicated"": false}}"
primary,EXPR_LOW:SEMA3C,ABT737,True,False,"{""res"": {""beta"": -0.017760326433177546, ""r"": -0.017729554482866526, ""p_two"": 0.71327363726619, ""se"": 0.0483003886457115, ""df"": 430, ""n"": 473, ""n_pos"": 21, ""n_neg"": 452, ""dep_sd"": 0.1978955652236673, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.356636818633095, ""d_discovery"": 0.5824658029659108, ""d_holdout"": 0.08974595470648526, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:GRAMD2A,AZD2014,True,False,"{""res"": {""beta"": -0.039161700135539476, ""r"": -0.06341444275914163, ""p_two"": 0.1867894712579543, ""se"": 0.02961791035756113, ""df"": 433, ""n"": 476, ""n_pos"": 329, ""n_neg"": 147, ""dep_sd"": 0.26266197941517566, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.09339473562897715, ""d_discovery"": 0.5159011753179192, ""d_holdout"": 0.14909542760141423, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:SGK1,AZD4547,True,False,"{""res"": {""beta"": -0.08915125512960308, ""r"": -0.059086477042904186, ""p_two"": 0.22359988960817584, ""se"": 0.07314708162463883, ""df"": 424, ""n"": 467, ""n_pos"": 20, ""n_neg"": 447, ""dep_sd"": 0.3067013721800904, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.11179994480408792, ""d_discovery"": 0.6267990020192467, ""d_holdout"": 0.29067771851133034, ""magnitude_ok"": false, ""replicated"": false}}"
primary,EXPR_LOW:CDCP1,AZD4547,True,True,"{""res"": {""beta"": -0.11002032026261085, ""r"": -0.12020166599404496, ""p_two"": 0.01304083022950231, ""se"": 0.04412849989065511, ""df"": 424, ""n"": 467, ""n_pos"": 100, ""n_neg"": 367, ""dep_sd"": 0.3067013721800904, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.006520415114751155, ""d_discovery"": 0.5624652357296878, ""d_holdout"": 0.3587213173536393, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:ICAM1,AZD4547,True,True,"{""res"": {""beta"": -0.1289050966802948, ""r"": -0.17263347782208804, ""p_two"": 0.000344178235922881, ""se"": 0.035718421445853125, ""df"": 424, ""n"": 467, ""n_pos"": 97, ""n_neg"": 370, ""dep_sd"": 0.3067013721800904, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.0001720891179614405, ""d_discovery"": 0.4296736647941469, ""d_holdout"": 0.4202951417009105, ""magnitude_ok"": true, ""replicated"": true}}"
primary,EXPR_LOW:HRCT1,AZD4547,True,False,"{""res"": {""beta"": -0.02446073834939927, ""r"": -0.04017312667848062, ""p_two"": 0.4082021337986012, ""se"": 0.029546107041094397, ""df"": 424, ""n"": 467, ""n_pos"": 235, ""n_neg"": 232, ""dep_sd"": 0.3067013721800904, ""n_broad_ids"": 1}, ""rep"": {""same_sign"": true, ""p_one_sided"": 0.2041010668993006, ""d_discovery"": 0.3939297490430773, ""d_holdout"": 0.07975425142550811, ""magnitude_ok"": false, ""replicated"": false}}"
